2025-04-26 00:16:56.273 | INFO     | app.main:lifespan:15 - Starting application...
2025-04-26 00:16:56.294 | INFO     | app.logging_setup:start_metrics_server:81 - Prometheus metrics server started on port 8001
2025-04-26 00:16:56.312 | ERROR    | app.cache:init_redis_pool:24 - Failed to connect to Redis (via redis-py) at redis://redis:6379/0: Error 8 connecting to redis:6379. nodename nor servname provided, or not known.
2025-04-26 00:17:41.005 | WARNING  | app.emotion_pipeline:load_emotion_model:61 - Sarcasm model unavailable, skipping sarcasm detection.
2025-04-26 00:17:41.009 | INFO     | app.emotion_pipeline:load_emotion_model:63 - Loaded emotion, sentiment, (sarcasm) models on device 0.
2025-04-26 00:17:41.089 | INFO     | app.llm_service:configure_genai:19 - Google Generative AI client configured. SDK version: 1.12.1
2025-04-26 00:17:41.090 | INFO     | app.main:lifespan:20 - Startup complete.
2025-04-26 00:18:32.035 | INFO     | app.main:chat_endpoint:74 - [ReqID: req_51129ae5] Chat request: 'I was standing on the cliff’s edge last night, the...'
2025-04-26 00:18:32.038 | ERROR    | app.cache:get_redis:42 - Redis pool is not initialized or connection failed.
2025-04-26 00:18:32.039 | INFO     | app.utils:wrapper:76 - Starting 'Advanced Emotion Analysis'...
2025-04-26 00:18:33.286 | INFO     | app.utils:wrapper:86 - 'Advanced Emotion Analysis' failed with TypeError in 1.2476 seconds.
2025-04-26 00:18:33.287 | ERROR    | app.main:chat_endpoint:101 - [ReqID: req_51129ae5] Emotion analysis error: list indices must be integers or slices, not str
2025-04-26 00:19:38.485 | INFO     | app.main:lifespan:22 - Shutting down...
2025-04-26 00:19:38.491 | INFO     | app.main:lifespan:24 - Shutdown complete.
